"country","population","gdp","gdpGrowth"
"West Bank and Gaza","4.422 million","$12.68 billion","12.4%"
"Ethiopia","99.39 million","$61.54 billion","9.6%"
"Eritrea","4.790 million","$2.608 billion","8.7%"
"Papua New Guinea","7.619 million","$16.93 billion","8.5%"
"Cote d'Ivoire","22.70 million","$31.75 billion","8.4%"
"Uzbekistan","31.30 million","$66.73 billion","8.0%"
"India","1.311 billion","$2.074 trillion","7.6%"
"Mali","17.60 million","$13.10 billion","7.6%"
"Dominican Republic","10.53 million","$67.10 billion","7.0%"
"Myanmar","53.90 million","$64.87 billion","7.0%"
"Tanzania","53.47 million","$44.90 billion","7.0%"
"Cambodia","15.58 million","$18.05 billion","7.0%"
"Lao PDR","6.802 million","$12.33 billion","7.0%"
"China","1.371 billion","$10.87 trillion","6.9%"
"Democratic Republic of Congo","77.27 million","$35.24 billion","6.9%"
"Rwanda","11.61 million","$8.096 billion","6.9%"
"Vietnam","91.70 million","$193.6 billion","6.7%"
"Bangladesh","161.0 million","$195.1 billion","6.6%"
"Senegal","15.13 million","$13.78 billion","6.5%"
"Mozambique","27.98 million","$14.69 billion","6.3%"
"Cameroon","23.34 million","$29.20 billion","6.2%"
"Djibouti","887,900","$1.589 billion","6.0%"
"Philippines","100.7 million","$292.0 billion","5.8%"
"Panama","3.929 million","$52.13 billion","5.8%"
"Syria","18.50 million","$40.41 billion","5.7%"
"Namibia","2.459 million","$11.55 billion","5.7%"
"Kenya","46.05 million","$63.40 billion","5.6%"
"Pakistan","188.9 million","$270.0 billion","5.5%"
"Togo","7.305 million","$4.003 billion","5.5%"
"Central African Republic","4.9 million","$1.503 billion","5.5%"
"Benin","10.88 million","$8.476 billion","5.2%"
"Malaysia","30.33 million","$296.2 billion","5.0%"
"Uganda","39.03 million","$26.37 billion","5.0%"
"Nicaragua","6.082 million","$12.69 billion","4.9%"
"Indonesia","257.6 million","$861.9 billion","4.8%"
"Sri Lanka","20.97 million","$82.32 billion","4.8%"
"Luxembourg","569,700","$57.79 billion","4.8%"
"Guinea-Bissau","1.844 million","$1.057 billion","4.8%"
"Sao Tome and Principe","190,300","$337.4 million","4.5%"
"Iran","79.11 million","$425.3 billion","4.3%"
"Timor Leste (East Timor)","1.245 million","$1.412 billion","4.3%"
